"门店名称","门店编号","开业时间","销售总额"
南京孝陵卫店,"80012211",2017-01-01 00:00:00.000,276059.27
上海育秀店,"80010084",2017-01-01 00:00:00.000,275655.98
南京通淮街店,"80012115",2017-01-01 00:00:00.000,275613.4
南京长乐路店,"80012174",2017-01-01 00:00:00.000,274008.65
苏州南粮店,"80010334",2017-01-01 00:00:00.000,273757.6
南京泰亿路店,"80012195",2017-01-01 00:00:00.000,273461.11
南京百润城店,"80012222",2017-01-01 00:00:00.000,272311.23
南京珠泉路店,"80012217",2017-01-01 00:00:00.000,272159.19
上海重固店,"80010022",2017-01-01 00:00:00.000,271897.05
南京托乐嘉店,"80012238",2017-01-01 00:00:00.000,270217.65
苏州兆佳巷店,"80024209",2019-12-21 00:00:00.000,269611
南京太平菜场店,"80012242",2017-01-01 00:00:00.000,268348.61
苏州凤城店,"80024041",2017-01-01 00:00:00.000,267704.22
南京新安里店,"80012234",2017-01-01 00:00:00.000,267473.11
苏州大同店,"80024125",2017-01-01 00:00:00.000,262100.18
苏州花园店,"80024005",2017-01-01 00:00:00.000,261868.87
南京伍佰村店,"80012205",2017-01-01 00:00:00.000,260838.84
上海繁安店,"80010264",2017-01-01 00:00:00.000,260136.35
合肥欣园店,"80020260",2020-04-10 00:00:00.000,259954.46
南京万寿店,"80012186",2017-01-01 00:00:00.000,258988.84
南京春江新城店,"80012103",2017-01-01 00:00:00.000,258796.55
上海九亭店,"80010153",2017-01-01 00:00:00.000,257089.97
南通叠石桥店,"80044049",2017-01-01 00:00:00.000,256617.26
上海莲花店,"80010231",2017-01-01 00:00:00.000,255974.7
杭州市太平门直街店,"80024544",2018-04-23 00:00:00.000,255039.06
扬州万象汇店,"80081193",2024-03-25 00:00:00.000,254364.66
南京同曦鸣城店,"80012109",2017-01-01 00:00:00.000,253167.85
上海安宁店,"80010222",2017-01-01 00:00:00.000,252498.55
南京华农菜场店,"80012282",2017-01-01 00:00:00.000,252110.93
南京科巷店,"80012151",2017-01-01 00:00:00.000,251607.3
南通东洲店,"80044057",2017-01-01 00:00:00.000,251124.14
南通新城店,"80044061",2017-01-01 00:00:00.000,251012.76
镇江丹阳华南店,"80045082",2018-12-15 00:00:00.000,249865.79
南京郁金香路店,"80012113",2017-01-01 00:00:00.000,248016.52
武汉蔡姚路店,"80018049",2017-01-01 00:00:00.000,247664.95
上海华宁店,"80010234",2017-01-01 00:00:00.000,247605.23
南通通源店,"80044056",2017-01-01 00:00:00.000,247024.98
成都黄田坝店,"80014001",2017-01-01 00:00:00.000,246911.75
南京金陵园店,"80012137",2017-01-01 00:00:00.000,246738.94
南京三牌楼店,"80012175",2017-01-01 00:00:00.000,246649.37
南京后宰门2店,"80012425",2021-06-04 00:00:00.000,246475.66
苏州新升店,"80024064",2017-01-01 00:00:00.000,244553.73
苏州东渚店,"80024133",2017-04-11 00:00:00.000,243337.72
南京茶南店,"80012134",2017-01-01 00:00:00.000,242702.17
上海天星店,"80010218",2017-01-01 00:00:00.000,241304.8
上海凤溪店,"80010020",2017-01-01 00:00:00.000,240245.86
上海青浦店,"80010271",2017-01-01 00:00:00.000,240064.99
南京铁心桥店,"80012104",2017-01-01 00:00:00.000,239787.75
南京天润城店,"80012277",2017-01-01 00:00:00.000,239729.33
南京玄武鱼市街店,"80012563",2022-11-28 00:00:00.000,239545.57
镇江紫晶农贸店,"80045081",2018-11-15 00:00:00.000,239397.16
上海友谊店,"80010935",2022-10-01 00:00:00.000,237739.89
南京梅山菜场店,"80012358",2019-09-02 00:00:00.000,237085.18
上海纪翟店,"80010294",2017-01-01 00:00:00.000,236521.1
上海打浦店,"80010795",2020-08-15 00:00:00.000,236287.36
武汉罗七路店,"80018096",2017-01-01 00:00:00.000,236135.93
苏州玲珑店,"80024046",2017-01-01 00:00:00.000,235196.08
杭州香积寺店,"80024505",2017-01-01 00:00:00.000,235045.33
上海御青店,"80010425",2017-01-01 00:00:00.000,234844.14
南京三叉河店,"80012142",2017-01-01 00:00:00.000,234804.17
上海长宁龙之梦店,"80081146",2023-12-24 00:00:00.000,234690.59
苏州苏锦店,"80024027",2017-01-01 00:00:00.000,233113.5
芜湖新里城店,"80042108",2017-01-01 00:00:00.000,232426.72
南京迈皋桥店,"80012199",2017-01-01 00:00:00.000,231968.7
苏州明澄店,"80024013",2017-01-01 00:00:00.000,231806.15
南京太清路店,"80012344",2018-10-22 00:00:00.000,231770.1
武汉胭脂路店,"80018021",2017-01-01 00:00:00.000,231383.62
南京翠林路店,"80012318",2017-11-06 00:00:00.000,230473.73
南京竹山南路店,"80012111",2017-01-01 00:00:00.000,230459.26
上海中谊店,"80010165",2017-01-01 00:00:00.000,230247.91
南京泰盈路店,"80012245",2017-01-01 00:00:00.000,230145.26
苏州枫景店,"80024006",2017-01-01 00:00:00.000,229650.48
南通太阳店,"80044010",2017-01-01 00:00:00.000,229559.39
南京热河南路店,"80012144",2017-01-01 00:00:00.000,229150.22
无锡叙康店,"80048038",2017-12-27 00:00:00.000,228994.41
上海乳山店,"80010707",2019-05-31 00:00:00.000,227506.61
上海宾川店,"80010221",2017-01-01 00:00:00.000,226871.15
上海福海店,"80010157",2017-01-01 00:00:00.000,224360.98
苏州新街口店,"80024267",2022-04-08 00:00:00.000,224180.66
上海永德店,"80010224",2017-01-01 00:00:00.000,223991.14
扬州白田路店,"80056068",2021-05-27 00:00:00.000,223494.3
武汉风情街店,"80018147",2017-01-01 00:00:00.000,223338.2
无锡苏宁店,"80081141",2023-12-01 00:00:00.000,222384.23
南京尚书巷店,"80012311",2017-07-26 00:00:00.000,222314.12
上海宣化店,"80010077",2017-01-01 00:00:00.000,222096.72
苏州车坊店,"80024082",2017-01-01 00:00:00.000,221395.35
合肥合家福店,"80020061",2017-01-01 00:00:00.000,220996.06
上海沧源店,"80010223",2017-01-01 00:00:00.000,220750.43
合肥太湖店,"80020037",2017-01-01 00:00:00.000,220730.33
南京萃文路店,"80012110",2017-01-01 00:00:00.000,220480.31
南通小海店,"80044021",2017-01-01 00:00:00.000,219794.08
南通盘香路店,"80044155",2017-12-03 00:00:00.000,219344.68
上海南泉店,"80010087",2017-01-01 00:00:00.000,219309.46
苏州胜浦店,"80024053",2017-01-01 00:00:00.000,219064.23
南通新开店,"80044017",2017-01-01 00:00:00.000,218564.07
上海春都店,"80010293",2017-01-01 00:00:00.000,218553.58
南通腾众店,"80044106",2017-01-01 00:00:00.000,218125.53
苏州东湖店,"80024134",2017-04-18 00:00:00.000,217762.54
苏州吴江秋枫店,"80024208",2019-11-30 00:00:00.000,216357.58
南京银龙花园店,"80012114",2017-01-01 00:00:00.000,215943.73
合肥紫桐店,"80020086",2017-01-01 00:00:00.000,215773.94
上海徐盈店,"80010364",2017-01-01 00:00:00.000,215412.99
南通观音山店,"80044046",2017-01-01 00:00:00.000,215166.69
苏州亿城店,"80024126",2017-03-08 00:00:00.000,214864.11
南京南苑店,"80012131",2017-01-01 00:00:00.000,214634.39
上海都市店,"80010269",2017-01-01 00:00:00.000,214497.6
南京江宁龙昌路店,"80012489",2022-07-04 00:00:00.000,214052.14
苏州同丰店,"80024007",2017-01-01 00:00:00.000,213921.5
苏州昆山巴城店,"80024200",2019-07-12 00:00:00.000,213124.99
南通刘桥店,"80044031",2017-01-01 00:00:00.000,213095.76
南京芙阁路店,"80012106",2017-01-01 00:00:00.000,213089.68
南京莱茵达店,"80012230",2017-01-01 00:00:00.000,212801.99
合肥东至店,"80020052",2017-01-01 00:00:00.000,212379.06
上海车北店,"80010014",2017-01-01 00:00:00.000,211757.82
上海枫林店,"80010539",2017-09-14 00:00:00.000,211460.53
南京浦东路店,"80012240",2017-01-01 00:00:00.000,210774.05
南京九村店,"80012207",2017-01-01 00:00:00.000,210631.41
上海赵华店,"80010402",2017-01-01 00:00:00.000,210421.25
苏州虹桥店,"80024017",2017-01-01 00:00:00.000,209906.1
常州新清潭店,"80048106",2017-12-27 00:00:00.000,209606.89
上海靖远店,"80010216",2017-01-01 00:00:00.000,209266.79
苏州盘里店,"80024057",2017-01-01 00:00:00.000,208746.62
苏州枫津店,"80024019",2017-01-01 00:00:00.000,208440.34
扬州宝应莲花路店,"80056118",2023-06-13 00:00:00.000,207850.9
上海中原店,"80010038",2017-01-01 00:00:00.000,207812.3
无锡东北塘店,"80048003",2017-12-27 00:00:00.000,206979.47
南通三厂店,"80044051",2017-01-01 00:00:00.000,206900.05
苏州兴昂店,"80024099",2017-01-01 00:00:00.000,206408.06
上海灵岩南店,"80010253",2017-01-01 00:00:00.000,206321.77
无锡东亭店,"80048004",2017-12-30 00:00:00.000,205817.96
苏州碧波店,"80024242",2021-06-30 00:00:00.000,205809.6
苏州斜塘店,"80024112",2017-01-01 00:00:00.000,204777.45
南京雨花台宜悦城店,"80081094",2023-10-10 00:00:00.000,204678.49
上海公园店,"80010558",2018-01-08 00:00:00.000,204617.5
南京南方花园店,"80012168",2017-01-01 00:00:00.000,204124.59
武汉党校路店,"80018090",2017-01-01 00:00:00.000,203786.82
苏州陆慕店,"80024039",2017-01-01 00:00:00.000,203765.98
上海颛桥店,"80010265",2017-01-01 00:00:00.000,203485.64
武汉奓山店,"80018055",2017-04-12 00:00:00.000,203252.28
苏州淀山店,"80024100",2017-01-01 00:00:00.000,203075.33
南昌农贸店,"80052038",2017-01-01 00:00:00.000,201763.55
苏州湖东店,"80024043",2017-01-01 00:00:00.000,201279.61
上海聚丰园店,"80010145",2017-01-01 00:00:00.000,200654.68
上海仙霞店,"80010071",2017-01-01 00:00:00.000,200186
天津南开大悦城店,"80081214",2024-04-17 00:00:00.000,199865.69
合肥祁门店,"80020073",2017-01-01 00:00:00.000,199662.46
南京白果路店,"80012249",2017-01-01 00:00:00.000,199619.79
马鞍山行陈店,"80042029",2017-01-01 00:00:00.000,199513.28
上海嘉园店,"80010597",2018-06-01 00:00:00.000,199413.19
上海泗泾店,"80010273",2017-01-01 00:00:00.000,199387.02
南京凤仪街店,"80012285",2017-01-01 00:00:00.000,199301.97
扬州望月路店,"80045041",2017-01-01 00:00:00.000,199145.69
合肥北岗花园店,"80020265",2022-04-10 00:00:00.000,198339.29
武汉广埠屯店,"80018015",2017-01-01 00:00:00.000,197438.51
无锡城色店,"80048037",2017-12-27 00:00:00.000,197098.49
上海迎园店,"80010162",2017-01-01 00:00:00.000,197025.16
上海景谷店,"80010219",2017-01-01 00:00:00.000,196988.23
苏州南山维纳店,"80024358",2024-05-16 00:00:00.000,196883.8
合肥顺园店,"80020226",2018-09-17 00:00:00.000,196759.11
芜湖中央新城店,"80042076",2017-01-01 00:00:00.000,196414.94
武汉江汉路店,"80018511",2019-09-10 00:00:00.000,196185.58
南京溧水秀园路店,"80012401",2020-05-28 00:00:00.000,195699.29
合肥海关店,"80020057",2017-01-01 00:00:00.000,195661.22
南京殷巷店,"80012227",2017-01-01 00:00:00.000,195116.32
武汉秦园店,"80018513",2019-09-10 00:00:00.000,194330.59
南京天景山店,"80012239",2017-01-01 00:00:00.000,194279.95
上海玉兰店,"80010101",2017-01-01 00:00:00.000,194230.65
南京雨花店,"80012165",2017-01-01 00:00:00.000,194072.8
上海顾荻店,"80010146",2017-01-01 00:00:00.000,193739.25
南京幕府西路店,"80012383",2020-03-14 00:00:00.000,193697.52
淮安建设西路店,"80056063",2021-04-14 00:00:00.000,193587.19
苏州东亭店,"80024293",2022-11-03 00:00:00.000,193485.15
苏州科技城店,"80024148",2017-07-07 00:00:00.000,193477.41
南通如皋西皋店,"80044129",2017-06-12 00:00:00.000,193411.8
芜湖绿地店,"80042102",2017-01-01 00:00:00.000,193064.87
上海浦锦店,"80010489",2017-05-20 00:00:00.000,192750.23
上海民乐店,"80010028",2017-01-01 00:00:00.000,192481.65
苏州震川店,"80024012",2017-01-01 00:00:00.000,192415.63
上海控江店,"80010042",2017-01-01 00:00:00.000,192305.49
淮安黎城市场店,"80056073",2021-09-08 00:00:00.000,192219.65
上海关岳店,"80010275",2017-01-01 00:00:00.000,192204.5
上海南中店,"80010838",2021-05-05 00:00:00.000,192090.87
南京仙鹤门店,"80012284",2017-01-01 00:00:00.000,192046.92
南京滨江嘉园店,"80012419",2020-12-20 00:00:00.000,191918.57
南通平潮店,"80044038",2017-01-01 00:00:00.000,191901.01
上海靖宇东店,"80010794",2020-08-16 00:00:00.000,191881.54
南通星宇路店,"80044079",2017-01-01 00:00:00.000,191507.15
武汉鲁磨路一店,"80018017",2017-01-01 00:00:00.000,190671.88
芜湖伟星城店,"80042112",2017-01-01 00:00:00.000,190657.49
无锡中桥店,"80048011",2017-12-27 00:00:00.000,190383.51
上海嘉松南店,"80010317",2017-01-01 00:00:00.000,189857.93
上海桃源店,"80010382",2017-01-01 00:00:00.000,189648.4
武汉光谷大悦城店,"80081050",2023-08-31 00:00:00.000,189284.01
南京汤泉东路店,"80012359",2019-05-17 00:00:00.000,189258.01
上海博山店,"80010107",2017-01-01 00:00:00.000,189066.1
上海中山店,"80010126",2017-01-01 00:00:00.000,189019.85
上海长岛店,"80010102",2017-01-01 00:00:00.000,188571.63
淮安盱眙大润发店,"80056067",2021-05-12 00:00:00.000,188497.95
武汉平安路店,"80018012",2017-01-01 00:00:00.000,188227.49
合肥永和家园店,"80020524",2021-10-21 00:00:00.000,188194.47
合肥大通店,"80020043",2017-01-01 00:00:00.000,188107.12
南京浦口望江路店,"80012484",2022-05-10 00:00:00.000,188001.12
苏州凤凰店,"80024030",2017-01-01 00:00:00.000,187670.12
苏州春申店,"80024322",2017-01-01 00:00:00.000,187609.83
南京宏运大道店,"80012258",2017-01-01 00:00:00.000,187448.45
南京义乌商城店,"80012228",2017-01-01 00:00:00.000,187253.06
南昌象湖店,"80052055",2017-01-01 00:00:00.000,187185.36
南京仙林店,"80012213",2017-01-01 00:00:00.000,187044.13
南京华采天地店,"80081115",2023-10-27 00:00:00.000,186527.94
上海孙桥店,"80010305",2017-01-01 00:00:00.000,186352.61
合肥繁昌店,"80020085",2017-01-01 00:00:00.000,186337.55
合肥大洋店,"80081211",2024-04-14 00:00:00.000,186132.97
合肥青阳店,"80020006",2017-01-01 00:00:00.000,186037.48
南京板桥店,"80012330",2018-05-22 00:00:00.000,185723.79
南京尧化门店,"80012120",2017-01-01 00:00:00.000,185505.97
南通怡园店,"80044035",2017-01-01 00:00:00.000,185267.32
合肥桐城店,"80020001",2017-01-01 00:00:00.000,185195.99
南京东月桥店,"80012363",2019-08-06 00:00:00.000,184814.1
上海七宝万科店,"80081179",2024-03-11 00:00:00.000,184805.74
南京上元大街店,"80012108",2017-01-01 00:00:00.000,184651.12
上海季景店,"80010341",2017-01-01 00:00:00.000,184573.76
南京龙江花园店,"80012139",2017-01-01 00:00:00.000,184311.81
南昌安义商城店,"80052103",2020-03-28 00:00:00.000,184303.15
南通二甲店,"80044027",2017-01-01 00:00:00.000,184159.79
上海莘潭店,"80010233",2017-01-01 00:00:00.000,183974.79
南通通海店,"80044113",2017-04-08 00:00:00.000,183497.63
南京高淳华天菜场店,"80012439",2021-07-15 00:00:00.000,183484.02
苏州富强店,"80024116",2017-01-01 00:00:00.000,183353.49
合肥石门路店,"80020122",2018-11-08 00:00:00.000,183149.32
南京新壹城店,"80012378",2019-10-30 00:00:00.000,183107.45
上海亭知店,"80010186",2017-01-01 00:00:00.000,183077.5
上海天山西店,"80010754",2019-12-15 00:00:00.000,182784.21
重庆鱼嘴店,"80016089",2017-01-01 00:00:00.000,182763.66
南京香溢紫郡店,"80012322",2018-04-01 00:00:00.000,182672.29
南京怡康街店,"80012478",2022-04-09 00:00:00.000,182491.79
合肥西岳西店,"80020601",2018-11-22 00:00:00.000,182389.02
上海庆荣店,"80010288",2017-01-01 00:00:00.000,182216.35
南京凤凰西街店,"80012270",2017-01-01 00:00:00.000,182037.35
芜湖南瑞新城店,"80042079",2017-01-01 00:00:00.000,181662.32
芜湖弋江嘉园店,"80042077",2017-01-01 00:00:00.000,181085.62
上海练北店,"80010453",2017-01-01 00:00:00.000,180995.92
淮安翔宇农贸市场店,"80056008",2018-08-31 00:00:00.000,180654.49
成都九里店,"80014054",2017-01-01 00:00:00.000,180530.16
武汉水陆街店,"80018505",2019-09-12 00:00:00.000,180430.13
南京文鼎店,"80012394",2020-03-27 00:00:00.000,180307.63
合肥潜山店,"80020050",2017-01-01 00:00:00.000,180246.08
南通书院坊店,"80044201",2019-12-09 00:00:00.000,180022.25
泰州万象城店,"80081116",2023-10-27 00:00:00.000,180012.23
苏州蠡口店,"80024038",2017-01-01 00:00:00.000,179762.81
南京虹苑店,"80012132",2017-01-01 00:00:00.000,179565.88
南京上海路店,"80012136",2017-01-01 00:00:00.000,179207.99
南通邻里店,"80044147",2017-11-10 00:00:00.000,179200.02
武汉保利路店,"80018075",2017-01-01 00:00:00.000,178628.84
南京建邺路店,"80012206",2017-01-01 00:00:00.000,178463.88
上海嘉怡店,"80010326",2017-01-01 00:00:00.000,178460.9
苏州香城店,"80024117",2017-01-01 00:00:00.000,178127.47
苏州江宙店,"80024291",2022-09-21 00:00:00.000,178034.66
合肥宿松店,"80020038",2017-01-01 00:00:00.000,177506.39
重庆李家沱店,"80016104",2017-01-01 00:00:00.000,177212.78
南京金域蓝湾店,"80012453",2022-03-15 00:00:00.000,177157.92
苏州泾河店,"80024010",2017-01-01 00:00:00.000,176853.89
成都丽景店,"80014123",2017-01-01 00:00:00.000,176830.6
上海文涵店,"80010379",2017-01-01 00:00:00.000,176689.76
扬州邗江顺达路2店,"80045062",2022-08-16 00:00:00.000,176350.03
合肥田埠西路店,"80020220",2018-05-18 00:00:00.000,175765.85
上海银春店,"80010506",2017-08-08 00:00:00.000,175577.96
南京建邺月安街店,"80012572",2023-11-02 00:00:00.000,175335.85
南京迈老街店,"80012203",2017-01-01 00:00:00.000,174989.68
上海城南店,"80010278",2017-01-01 00:00:00.000,174476.94
合肥清源店,"80020213",2018-03-28 00:00:00.000,174373.01
合肥淝河店,"80020096",2017-01-01 00:00:00.000,174114.27
南京华汇路店,"80012416",2020-11-19 00:00:00.000,173966.15
上海仓场店,"80010319",2017-01-01 00:00:00.000,173919.29
武汉红寨路店,"80018376",2022-07-19 00:00:00.000,173859.1
南通西郊店,"80044052",2017-01-01 00:00:00.000,173581.51
镇江句容崇明西路店,"80045087",2020-06-16 00:00:00.000,173399.44
上海银圩店,"80010872",2021-12-06 00:00:00.000,173130.13
常州翠竹店,"80048102",2017-12-27 00:00:00.000,173053.11
南通水榭花城店,"80044118",2017-07-04 00:00:00.000,172874.91
上海祁安店,"80010863",2021-09-13 00:00:00.000,172794.88
上海新凤店,"80010690",2019-05-06 00:00:00.000,172609.79
合肥西阜阳店,"80020602",2018-11-22 00:00:00.000,172403.18
南京丽岛路店,"80012233",2017-01-01 00:00:00.000,172342.94
上海延吉店,"80010007",2017-01-01 00:00:00.000,171964.75
南通农场店,"80044080",2017-01-01 00:00:00.000,171839.03
上海温宿店,"80010159",2017-01-01 00:00:00.000,171741.03
南京城北万象汇店,"80081189",2024-03-22 00:00:00.000,171613.31
北京科贸大厦外卖专营店,"80037646",2024-04-27 00:00:00.000,171495.4
苏州花港店,"80024122",2017-01-01 00:00:00.000,171426.14
苏州朝红店,"80024181",2018-09-15 00:00:00.000,171241.23
合肥马岗店,"80020067",2017-01-01 00:00:00.000,170228.5
南昌华联店,"80052018",2017-01-01 00:00:00.000,170078.51
南京江心洲店,"80012314",2017-09-25 00:00:00.000,169957.58
苏州学府店,"80024071",2017-01-01 00:00:00.000,169481.4
苏州东港店,"80024055",2017-01-01 00:00:00.000,169437.97
上海古美店,"80010266",2017-01-01 00:00:00.000,169070.56
苏州幸福店,"80024072",2017-01-01 00:00:00.000,168917.85
无锡颐和湾店,"80048028",2017-12-27 00:00:00.000,168894.15
无锡太湖店,"80048005",2017-12-27 00:00:00.000,168816.55
武汉前川店,"80018128",2017-01-01 00:00:00.000,168667.84
合肥琥珀店,"80020019",2017-01-01 00:00:00.000,168615.38
南京红庙店,"80012152",2017-01-01 00:00:00.000,168343.83
上海瑞丽店,"80010220",2017-01-01 00:00:00.000,168292.02
南京莉湖花园店,"80012316",2017-11-27 00:00:00.000,168269.64
上海乐都店,"80010124",2017-01-01 00:00:00.000,168108.92
南京浦口亚青路店,"80012532",2022-07-23 00:00:00.000,168076.85
上海百色1店,"80010764",2020-03-22 00:00:00.000,167951.59
武汉九坤店,"80018196",2019-05-15 00:00:00.000,167627.23
孝感安陆紫金路店,"80070631",2024-07-27 00:00:00.000,167620.78
成都吉泰店,"80014143",2017-10-13 00:00:00.000,167576.56
上海方泰店,"80010156",2017-01-01 00:00:00.000,167546.14
上海平福店,"80010656",2018-12-16 00:00:00.000,167358.1
南通虹桥店,"80044000",2017-01-01 00:00:00.000,167082.42
上海丰庄店,"80010925",2022-08-01 00:00:00.000,166818.31
南昌恒达店,"80052060",2017-01-01 00:00:00.000,166746.99
武汉建和世家店,"80018466",2024-08-11 00:00:00.000,166745.91
南京鼓楼漓江路店,"80012485",2022-05-15 00:00:00.000,166644.69
南京龙淮路店,"80012488",2022-04-15 00:00:00.000,166621.8
上海江园店,"80010335",2017-01-01 00:00:00.000,166488.88
南京龙湖菜场店,"80012122",2017-01-11 00:00:00.000,166334.6
南通陈桥店,"80044081",2017-01-01 00:00:00.000,166227.67
合肥琅琊店,"80020003",2017-01-01 00:00:00.000,165967.72
无锡春潮店,"80048006",2017-12-27 00:00:00.000,165940.46
南京江宁长亭街店,"80012500",2022-06-05 00:00:00.000,165823.05
南京桥北店,"80012193",2017-01-01 00:00:00.000,165753.11
南京江北江山路店,"80012179",2017-01-01 00:00:00.000,165399.3
苏州新民店,"80024118",2017-01-01 00:00:00.000,165218.49
南昌振兴店,"80052074",2017-05-24 00:00:00.000,165068.19
上海汾西店,"80010526",2017-11-29 00:00:00.000,164679.1
南通幸福店,"80044060",2017-01-01 00:00:00.000,164607.68
合肥广德店,"80020080",2017-01-01 00:00:00.000,164311.84
武汉地球村店,"80018022",2017-01-01 00:00:00.000,164103.61
南京金盛路店,"80012105",2017-01-01 00:00:00.000,164067.61
武汉三眼桥店,"80018089",2017-01-01 00:00:00.000,163769.17
南京新民路店,"80012147",2017-01-01 00:00:00.000,163519.73
武汉江大路店,"80018507",2019-09-10 00:00:00.000,163470.41
徐州金鹰上街店,"80081119",2023-11-03 00:00:00.000,163331.61
深圳桃源居,"80050037",2017-01-01 00:00:00.000,163258.29
武汉金凯店,"80018040",2017-01-01 00:00:00.000,162991.8
苏州昆山万悦店,"80024215",2020-05-17 00:00:00.000,162786.98
合肥百草街店,"80020270",2020-05-19 00:00:00.000,162622.23
南京盘城店,"80012218",2017-01-01 00:00:00.000,162577.81
南京玄武童卫路店,"80012509",2022-05-28 00:00:00.000,162569.8
南京苏宁睿城店,"80012388",2020-03-22 00:00:00.000,162392.8
武汉鹦鹉路店,"80018502",2019-09-01 00:00:00.000,162177.23
南京凤南路店,"80012194",2017-01-01 00:00:00.000,162140.41
上海西凌家宅店,"80010066",2017-01-01 00:00:00.000,161969.02
上海法华镇店,"80010940",2022-10-26 00:00:00.000,161774.22
张家港城北店,"80048200",2017-12-27 00:00:00.000,161651.89
上海新沪店,"80010092",2017-01-01 00:00:00.000,161599.63
上海菊盛店,"80010316",2017-01-01 00:00:00.000,161378.78
武汉武胜路店,"80018222",2019-12-01 00:00:00.000,161259.44
南京谷里店,"80012254",2017-01-01 00:00:00.000,161181.88
苏州朝阳店,"80024045",2017-01-01 00:00:00.000,161062.94
武汉建一路店,"80018065",2017-01-01 00:00:00.000,160812.83
上海新龙茗店,"80010039",2017-01-01 00:00:00.000,160800.21
南通翠园店,"80044059",2017-01-01 00:00:00.000,160603.11
武汉恒大绿洲店,"80018289",2020-10-07 00:00:00.000,160596.53
南京云锦路店,"80012223",2017-01-01 00:00:00.000,160341.55
上海鑫峰苑店,"80010878",2021-12-20 00:00:00.000,160308.64
南通世贸广场店,"80044267",2021-06-23 00:00:00.000,160295.55
苏州葑门店,"80024028",2017-01-01 00:00:00.000,160030.19
泰州嘉福国际城店,"80044214",2020-05-20 00:00:00.000,159967.08
南京佳园路店,"80012220",2017-01-01 00:00:00.000,159927.97
南京市摄山星城店,"80012325",2021-04-30 00:00:00.000,159880.12
无锡新安店,"80048064",2018-04-27 00:00:00.000,159623.98
苏州阳光城店,"80024165",2018-04-13 00:00:00.000,159471.66
上海水清店,"80010470",2017-04-19 00:00:00.000,159138.4
上海香花桥店,"80010023",2017-01-01 00:00:00.000,159040.26
上海塔城店,"80010158",2017-01-01 00:00:00.000,158826.98
南京黄家圩店,"80012200",2017-01-01 00:00:00.000,158691.36
武汉莲花湖店,"80018050",2017-01-01 00:00:00.000,158622.54
南京新华市场店,"80012221",2017-01-01 00:00:00.000,158606.41
